is_canceled,lead_time,arrival_date_week_number,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,country,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,deposit_type,agent,company,adr,total_of_special_requests,arrival_date,hotel_index,meal_index,market_segment_index,distribution_channel_index,reserved_room_type_index,assigned_room_type_index,customer_type_index,total_stays,total_guests
0,31,53,0,2,2,0.0,0,PRT,1,0,1,0,No Deposit,,,305.0,1,2016-12-30,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2,2.0
0,112,53,0,3,1,0.0,0,PRT,0,0,0,2,No Deposit,,,155.67,0,2015-12-30,1.0,3.0,2.0,1.0,0.0,0.0,1.0,3,1.0
0,112,53,0,3,2,0.0,0,PRT,0,0,0,0,No Deposit,,,224.67,0,2015-12-30,1.0,3.0,2.0,1.0,0.0,0.0,1.0,3,2.0
0,112,53,0,3,2,0.0,0,PRT,0,0,0,0,No Deposit,,,224.67,0,2015-12-30,1.0,3.0,2.0,1.0,0.0,0.0,1.0,3,2.0
0,70,52,2,8,3,0.0,0,PRT,0,0,0,1,No Deposit,240.0,,203.95,0,2015-12-23,1.0,1.0,0.0,0.0,7.0,7.0,0.0,10,3.0
0,105,52,3,7,2,0.0,0,PRT,1,0,0,0,No Deposit,,,128.7,1,2016-12-23,1.0,1.0,3.0,0.0,2.0,2.0,0.0,10,2.0
0,2,1,0,1,2,0.0,0,PRT,0,0,0,0,No Deposit,240.0,,48.0,1,2016-01-02,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2.0
0,44,53,0,3,2,0.0,0,PRT,0,0,0,0,No Deposit,181.0,,163.48,0,2015-12-31,1.0,0.0,1.0,0.0,2.0,3.0,0.0,3,2.0
0,12,40,2,3,2,0.0,0,PRT,1,0,1,1,No Deposit,181.0,,108.4,0,2016-10-01,1.0,0.0,1.0,0.0,2.0,2.0,0.0,5,2.0
0,116,22,2,5,2,0.0,0,PRT,1,0,2,0,No Deposit,181.0,,123.0,2,2017-06-03,1.0,0.0,1.0,0.0,2.0,2.0,0.0,7,2.0
0,8,1,0,1,2,0.0,0,PRT,0,0,0,0,No Deposit,240.0,,62.0,2,2016-01-02,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1,2.0
0,13,2,0,1,2,0.0,0,PRT,1,0,1,0,No Deposit,240.0,,55.0,4,2017-01-14,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2.0
0,17,9,1,0,2,0.0,0,PRT,1,0,2,0,No Deposit,240.0,,48.0,4,2017-02-26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0
0,3,1,0,1,2,0.0,0,ESP,0,0,0,0,No Deposit,240.0,,56.0,1,2016-01-02,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1,2.0
0,3,1,0,1,2,0.0,0,ESP,0,0,0,0,No Deposit,240.0,,56.0,1,2016-01-02,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1,2.0
0,20,1,0,2,2,0.0,0,ITA,0,0,0,0,No Deposit,250.0,,57.0,1,2016-01-01,1.0,0.0,3.0,1.0,0.0,0.0,0.0,2,2.0
0,41,53,0,3,2,0.0,0,PRT,0,0,0,0,No Deposit,5.0,,145.87,1,2015-12-31,1.0,0.0,1.0,0.0,1.0,1.0,0.0,3,2.0
0,53,53,2,5,2,0.0,0,CHE,0,0,0,0,No Deposit,6.0,,65.43,0,2015-12-27,1.0,0.0,1.0,0.0,1.0,1.0,0.0,7,2.0
0,41,53,0,3,2,0.0,0,PRT,0,0,0,0,No Deposit,5.0,,145.87,1,2015-12-31,1.0,0.0,1.0,0.0,1.0,1.0,0.0,3,2.0
0,49,53,0,3,2,0.0,0,PRT,0,0,0,0,No Deposit,5.0,,151.87,1,2015-12-31,1.0,0.0,1.0,0.0,1.0,1.0,0.0,3,2.0
0,41,53,0,3,2,0.0,0,PRT,0,0,0,0,No Deposit,5.0,,145.87,1,2015-12-31,1.0,0.0,1.0,0.0,1.0,1.0,0.0,3,2.0
0,59,52,2,6,2,0.0,0,DEU,0,0,0,1,No Deposit,240.0,,71.18,1,2015-12-26,1.0,0.0,0.0,0.0,1.0,3.0,0.0,8,2.0
0,7,1,0,1,2,0.0,0,PRT,0,0,0,0,No Deposit,240.0,,56.0,1,2016-01-02,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1,2.0
0,26,1,0,1,2,0.0,1,PRT,0,0,0,1,No Deposit,250.0,,65.0,2,2016-01-02,1.0,0.0,3.0,1.0,2.0,2.0,0.0,1,3.0
0,11,53,0,1,2,0.0,0,PRT,1,0,0,0,No Deposit,240.0,,109.0,3,2016-12-27,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1,2.0
0,16,1,0,1,2,0.0,0,PRT,0,0,0,0,No Deposit,240.0,,62.0,2,2016-01-02,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1,2.0
0,2,53,0,3,2,0.0,0,PRT,0,0,0,0,No Deposit,240.0,,110.67,0,2015-12-31,1.0,0.0,0.0,0.0,2.0,2.0,0.0,3,2.0
0,4,1,0,1,2,1.0,0,PRT,0,0,0,0,No Deposit,,,85.0,0,2016-01-02,1.0,0.0,3.0,1.0,4.0,4.0,0.0,1,3.0
0,16,26,1,2,2,1.0,0,PRT,1,0,1,1,No Deposit,240.0,,193.33,1,2017-06-30,1.0,0.0,0.0,1.0,6.0,5.0,0.0,3,3.0
0,5,1,0,1,2,0.0,0,ESP,0,0,0,0,No Deposit,240.0,,56.0,1,2016-01-02,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1,2.0
0,5,1,0,1,2,0.0,0,ESP,0,0,0,0,No Deposit,240.0,,56.0,1,2016-01-02,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1,2.0
0,48,53,0,3,2,0.0,0,PRT,0,0,0,1,No Deposit,250.0,,153.67,1,2015-12-31,1.0,3.0,3.0,1.0,1.0,1.0,0.0,3,2.0
